mutant,geneLocus,nReplicates,meanWithin,meanToOtherMutants,nullMeanWithin,nullSdWithin,p,qBH,pBonferroni,withinMinusOthers
lipA,VC_0943,20,17.69782,27.479832,22.065811698913574,2.273836110257582,0.015198480151984802,0.01622540448657837,1.0,-9.782011
wbeG,VC_0245,22,17.8316,21.246685,22.063916842079163,2.171066831863055,0.014498550144985502,0.015690211800737732,1.0,-3.4150848
guaB,VC_0767,6,17.847847,23.008677,22.051507082939146,4.374100628422137,0.14648535146485353,0.14932055181578618,1.0,-5.1608295
wavL,VC_0239,24,18.00349,35.02261,22.085674599456787,2.105438885462586,0.014998500149985002,0.016120836895902248,1.0,-17.01912
flhA,VC_2069,21,18.05718,25.613705,22.129187540245056,2.2387293014261678,0.022797720227977204,0.024174763731680524,1.0,-7.5565243
manC,VC_0241,24,18.547325,49.67097,22.103890357875823,2.0764849848509113,0.030296970302969704,0.03191280871912809,1.0,-31.123646
VC_2270,VC_2270,16,18.609192,24.914871,22.101250466251372,2.551517462709617,0.066993300669933,0.069182624221238,1.0,-6.3056793
mrcA,VC_2635,24,18.894226,26.993025,22.073162487125398,2.0613662192195514,0.04989501049895011,0.052208024230689515,1.0,-8.098799
manA,VC_0269,24,19.122747,50.331093,22.117105049037935,2.075895968135707,0.059994000599940006,0.06236218483414817,1.0,-31.208345
gshB,VC_0468,24,19.46235,24.614819,22.05279321517944,2.0795277047735894,0.09509049095090491,0.0975603738327466,1.0,-5.1524677
wbeL,VC_0249,24,20.992733,43.65914,22.115799937534334,2.0771925554923087,0.30956904309569044,0.3135378769815326,1.0,-22.666409
VC_A0146,VC_A0146,24,21.396332,22.471485,22.11443954553604,2.0912092439993524,0.38816118388161186,0.39063354811015716,1.0,-1.0751534
fadR,VC_1900,21,24.810991,33.139385,22.099390304374694,2.206505464802644,0.8843115688431158,0.8843115688431158,1.0,-8.328394
