locus,oldLocus,gene,description,logFC,qvalue
VC_RS02915,VC0570; VC_0570,rplM,50S ribosomal protein L13,-0.205686624441523,0.679611721937365
VC_RS02920,VC0571; VC_0571,rpsI,30S ribosomal protein S9,0.141632793214846,0.695952427188307
VC_RS02925,VC0573; VC_0573,petA,ubiquinol-cytochrome c reductase iron-sulfur subunit,0.112030023030093,0.846250526192763
VC_RS02930,VC0574; VC_0574,,cytochrome b,0.271209807481779,0.606362561632495
VC_RS02935,VC0575; VC_0575,,cytochrome c1,0.0165401476801557,0.97885025929309
VC_RS02940,VC0576; VC_0576,sspA,stringent starvation protein SspA,-0.21126021241961,0.681380440080012
VC_RS02945,VC0577; VC_0577,sspB,ClpXP protease specificity-enhancing factor,-0.481973495158186,0.212467328190743
VC_RS02950,VC0578; VC_0578,,BON domain-containing protein,0.260867419739109,0.424200071685518
VC_RS02955,VC0579; VC_0579,,phosphoheptose isomerase,-0.143783311105749,0.817556996285848
VC_RS02960,VC0580; VC_0580,,YraN family protein,-0.0642864925200968,0.901262147528013
VC_RS02965,VC0581; VC_0581,,penicillin-binding protein activator,-0.152341009573208,0.907973263597092
VC_RS02970,VC0582; VC_0582,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,-0.0144648453112714,0.991451891356219
VC_RS02975,VC0583; VC_0583,hapR,quorum-sensing master transcriptional regulator HapR,0.224826678767427,0.679258358310115
VC_RS02980,VC0585; VC_0585,hpt,hypoxanthine phosphoribosyltransferase,0.0225353149546538,0.976850199293178
VC_RS02985,VC0586; VC_0586,can,carbonate dehydratase,0.407783453021624,0.458789566888779
VC_RS02990,VC0587; VC_0587,,SulP family inorganic anion transporter,0.175770360907198,0.579699007109403
VC_RS02995,VC0589; VC_0589,,ABC transporter ATP-binding protein,0.547266364795285,0.476169963216517
VC_RS03000,VC0590; VC_0590,,ABC transporter permease,0.305609953405835,0.651144520549828
VC_RS03005,VC0591; VC_0591,panC,pantoate--beta-alanine ligase,0.78508572415769,0.377912833961916
VC_RS03010,VC0592; VC_0592,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,-0.120898068847805,0.819507552807319
VC_RS03015,VC0593; VC_0593,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,-0.385681772532618,0.506592912074706
VC_RS03020,VC0594; VC_0594,pcnB,polynucleotide adenylyltransferase PcnB,-0.0504833106593872,0.899566166540062
VC_RS03025,VC0595; VC_0595,gluQRS,tRNA glutamyl-Q(34) synthetase GluQRS,-0.132227903745576,0.771237928789747
VC_RS03030,VC0596; VC_0596,dksA,RNA polymerase-binding protein DksA,-0.257140719266313,0.899566166540062
VC_RS03035,VC0597; VC_0597,sfsA,DNA/RNA nuclease SfsA,-0.43602062995419,0.490653670097172
VC_RS03040,VC0600; VC_0600,,alpha/beta fold hydrolase,-0.173125209718059,0.759094432136164
VC_RS03045,VC0601; VC_0601,hrpB,ATP-dependent helicase HrpB,0.156536679105402,0.683715034391
VC_RS03050,VC0602; VC_0602,mrcB,penicillin-binding protein 1B,0.255529053092681,0.495711314188993
VC_RS03055,VC0603; VC_0603,,patatin-like phospholipase family protein,-0.0710340634801372,0.862397542035667
VC_RS03060,VC0604; VC_0604,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,0.139252357457931,0.781554514170191
VC_RS03065,VC0605; VC_0605,,YacL family protein,0.0376836777659557,0.969959307189906
VC_RS03070,VC0606; VC_0606,glnK,P-II family nitrogen regulator,-0.625388561687201,0.529785286481681
VC_RS03075,VC0607; VC_0607,,ammonium transporter,-0.177133970795025,0.756508196185379
VC_RS03080,VC0608; VC_0608,,Fe(3+) ABC transporter substrate-binding protein,0.0814894817601875,0.89402419290959
VC_RS03085,VC0609; VC_0609,,ABC transporter permease,-0.120048401854654,0.755814544988682
VC_RS03090,VC0610; VC_0610,,ABC transporter ATP-binding protein,-0.0301638080258952,0.959215325500867
VC_RS03095,VC0611; VC_0611,,phosphoglucomutase/phosphomannomutase family protein,0.09179863880131,0.86143068592061
VC_RS03100,VC0612; VC_0612,,GH36-type glycosyl hydrolase domain-containing protein,-0.104516666551022,0.819507552807319
VC_RS03105,VC0613; VC_0613,,beta-N-acetylhexosaminidase,-0.150558616997156,0.955358627246211
VC_RS03110,VC0614; VC_0614,,N-acetylglucosamine kinase,-0.296286075713718,0.701715982796404
