locus,oldLocus,gene,description,logFC,qvalue
VC_RS10035,VC2084; VC_2084,sucD,succinate--CoA ligase subunit alpha,-0.263502094582945,0.123272210857685
VC_RS10040,VC2085; VC_2085,sucC,ADP-forming succinate--CoA ligase subunit beta,0.0140271983703924,0.931255926747125
VC_RS10045,VC2086; VC_2086,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,0.605739266911036,0.005742766476267
VC_RS10050,VC2087; VC_2087,sucA,2-oxoglutarate dehydrogenase E1 component,0.852079794028987,0.0003696380879787
VC_RS10055,VC2088; VC_2088,,succinate dehydrogenase iron-sulfur subunit,1.21225470334927,0.0001410886286615
VC_RS10060,VC2089; VC_2089,sdhA,succinate dehydrogenase flavoprotein subunit,0.647432704865834,0.0371345684437213
VC_RS10065,VC2090; VC_2090,sdhD,"succinate dehydrogenase, hydrophobic membrane anchor protein",-0.0461011375760551,0.806227520647193
VC_RS10070,VC2091; VC_2091,sdhC,succinate dehydrogenase cytochrome b556 subunit,-0.239127781405496,0.353799061504607
VC_RS10075,VC2092; VC_2092,,citrate synthase,0.528223758584635,0.0169249349072118
VC_RS10080,VC2093; VC_2093,,Nif3-like dinuclear metal center hexameric protein,-0.79038907578861,0.0005438564549047
VC_RS10085,VC2094; VC_2094,,DUF1853 family protein,-1.7106909929755,2.01690898730519e-06
VC_RS10090,VC2095; VC_2095,pgm,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",-0.713124727021799,0.0020479894186427
VC_RS10095,VC2096; VC_2096,seqA,replication initiation negative regulator SeqA,-0.854417664901882,9.76938189684036e-05
VC_RS10100,VC2097; VC_2097,,alpha/beta fold hydrolase,0.858353208437147,5.08355291433451e-05
VC_RS10105,VC2098; VC_2098,,DUF2788 domain-containing protein,-0.626835517771314,0.0018644054150323
VC_RS10110,VC2099; VC_2099,fldA,flavodoxin FldA,-1.39075496529268,8.5349659709688e-05
VC_RS10115,VC2100; VC_2100,,LrgB family protein,2.62965657686487,7.66400092770934e-07
VC_RS10120,VC2101; VC_2101,,CidA/LrgA family protein,2.73856219930526,3.08470118788666e-05
VC_RS10125,VC2103; VC_2103,,LysR family transcriptional regulator,-0.775730366957936,0.0085315711041867
VC_RS10130,VC2105; VC_2105,,DUF4442 domain-containing protein,-0.447704235359548,0.0554465353427561
VC_RS10135,VC2106; VC_2106,fcrX,ferric iron uptake transcriptional regulator FcrX,-1.53460570680283,2.55905659831291e-06
VC_RS10140,VC2107; VC_2107,,aspartate-semialdehyde dehydrogenase,-0.171379201947251,0.36452454129296
VC_RS10145,VC2108; VC_2108,,4-phosphoerythronate dehydrogenase,0.307578818498142,0.0555907894739262
VC_RS10150,VC2109; VC_2109,fabB,beta-ketoacyl-ACP synthase I,-0.942535892656648,1.5848475221435e-05
VC_RS10155,VC2110; VC_2110,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,-0.0214026042458907,0.909943168094215
VC_RS10160,VC2111; VC_2111,,NADPH-dependent FMN reductase,-0.239939614529506,0.294812281646064
VC_RS10165,VC2112; VC_2112,,YfcL family protein,-0.762384294502556,0.0142004455606682
VC_RS10170,VC2113; VC_2113,,elongation factor P hydroxylase,-1.04900649792066,0.0019935232806685
VC_RS10175,VC2115; VC_2115,,trimeric intracellular cation channel family protein,-0.300764643390309,0.109415146320516
VC_RS10180,VC2116; VC_2116,aroC,chorismate synthase,-0.523149455150696,0.0626162110466774
VC_RS10185,VC2118; VC_2118,prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase,-1.24583857886727,1.71929756311461e-07
VC_RS10190,VC2119; VC_2119,smrB,endonuclease SmrB,0.499930207498654,0.0098698278943436
VC_RS10195,VC2120; VC_2120,flhB,flagellar biosynthesis protein FlhB,0.327606228496146,0.049897908698964
VC_RS10200,VC2121; VC_2121,fliR,flagellar biosynthetic protein FliR,0.1979397127337,0.26375843774516
VC_RS10205,VC2122; VC_2122,fliQ,flagellar biosynthesis protein FliQ,0.214502059892098,0.221866496799804
VC_RS10210,VC2123; VC_2123,fliP,flagellar type III secretion system pore protein FliP,0.350681061794553,0.0579120441742754
VC_RS10215,VC2124; VC_2124,fliO,flagellar biosynthetic protein FliO,0.714110564505194,0.0029656548612686
VC_RS10220,VC2125; VC_2125,fliN,flagellar motor switch protein FliN,0.413145275809684,0.0124489498922558
VC_RS10225,VC2126; VC_2126,fliM,flagellar motor switch protein FliM,0.659964828950598,0.0001885650041997
VC_RS10230,VC2127; VC_2127,fliL,flagellar basal body-associated protein FliL,-1.67554909135967,0.0129928619995891
VC_RS10235,VC2128; VC_2128,,flagellar hook-length control protein FliK,-0.120411860285548,0.675696798371635
VC_RS10245,VC2129; VC_2129,fliJ,flagellar export protein FliJ,1.43767418588688,0.0003932318619102
VC_RS10250,VC2130; VC_2130,fliI,flagellar protein export ATPase FliI,1.83639754362484,0.0002770374036155
VC_RS10255,VC2131; VC_2131,fliH,flagellar assembly protein FliH,1.97192810470034,5.0620086056981e-06
VC_RS10260,VC2132; VC_2132,fliG,flagellar motor switch protein FliG,1.93971884761099,5.76830223459215e-06
VC_RS10265,VC2133; VC_2133,fliF,flagellar basal-body MS-ring/collar protein FliF,1.15677613288849,0.036276748876103
VC_RS10270,VC2134; VC_2134,fliE,flagellar hook-basal body complex protein FliE,0.576851910686832,0.283280655683538
VC_RS10275,VC2135; VC_2135,,sigma-54-dependent transcriptional regulator,1.12334570005145,2.29586996401337e-05
VC_RS10280,VC2136; VC_2136,,sensor histidine kinase,0.280713447123692,0.194864120681128
VC_RS10285,VC2137; VC_2137,,sigma-54 dependent transcriptional regulator,-0.708632230169639,4.34550718380832e-05
VC_RS10290,VC2138; VC_2138,fliS,flagellar export chaperone FliS,-1.14767624160181,0.0001403644045138
VC_RS10295,VC2139; VC_2139,,flagellar protein FliT,-0.163564436212049,0.272426383680265
VC_RS10300,VC2140; VC_2140,fliD,flagellar filament capping protein FliD,0.0336228044833225,0.832511836674078
VC_RS10305,VC2141; VC_2141,flaG,flagellar protein FlaG,-0.106414174817838,0.675222432721298
VC_RS10310,VC2142; VC_2142,,flagellin,-2.19684456298685,0.0001067119327302
VC_RS10315,VC2143; VC_2143,,flagellin,-5.06119705731059,1.55290408572452e-06
VC_RS10320,VC2144; VC_2144,,flagellin,-1.66281038300413,0.0004499963767403
VC_RS10325,VC2145; VC_2145,,Dyp-type peroxidase,1.71265771600984,2.08981556086948e-05
VC_RS10330,VC2146; VC_2146,,DUF2919 domain-containing protein,0.601910268940221,0.0034261226381143
VC_RS10335,VC2147; VC_2147,,DUF2956 domain-containing protein,-0.475361064091154,0.123608855186568
VC_RS10340,VC2149; VC_2149,,winged helix-turn-helix domain-containing protein,0.411777958851224,0.347960442287819
VC_RS10345,VC2150; VC_2150,,ArsC family reductase,-0.203478619278157,0.217008447800552
VC_RS10350,VC2152; VC_2152,dapE,succinyl-diaminopimelate desuccinylase,0.392330533343574,0.0707731421583089
VC_RS10355,VC2153; VC_2153,,M15 family metallopeptidase,0.104835805971948,0.623954914675698
