locus,oldLocus,gene,description,logFC,qvalue
VC_RS10815,VC2238; VC_2238,,endonuclease/exonuclease/phosphatase family protein,-0.0707448551106667,0.768474110098611
VC_RS10820,VC2239; VC_2239,glnB,nitrogen regulatory protein P-II,0.183945100620685,0.424455559247456
VC_RS10825,VC2240; VC_2240,,phenolic acid decarboxylase,3.36710612914037,1.33053205684192e-07
VC_RS10830,VC2241; VC_2241,,c-type cytochrome,1.5121487884424,0.0001426271264816
VC_RS10835,VC2242; VC_2242,tilS,tRNA lysidine(34) synthetase TilS,0.135009239240378,0.33109303364172
VC_RS10840,VC2244; VC_2244,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,0.649200257531296,0.0007760980735432
VC_RS10845,VC2245; VC_2245,dnaE,DNA polymerase III subunit alpha,0.0233169714136957,0.871835716216685
VC_RS10850,VC2246; VC_2246,rnhB,ribonuclease HII,-0.740375204346967,0.0022790167443858
VC_RS10855,VC2247; VC_2247,lpxB,lipid-A-disaccharide synthase,-1.16453427837874,5.78537717086102e-05
VC_RS10860,VC2248; VC_2248,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,-0.0868610820503556,0.612756425524526
VC_RS10865,VC2249; VC_2249,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,-0.402971062505833,0.0074637006522065
VC_RS10870,VC2250; VC_2250,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,-0.0384236294394129,0.867584811706518
VC_RS10875,VC2251; VC_2251,,OmpH family outer membrane protein,-0.120213132341528,0.545208163471072
VC_RS10880,VC2252; VC_2252,bamA,outer membrane protein assembly factor BamA,-0.137795402147247,0.323799976046136
VC_RS10885,VC2253; VC_2253,rseP,sigma E protease regulator RseP,-0.200838460633392,0.278491905253982
VC_RS10890,VC2254; VC_2254,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,-1.43393444241642,5.41427002462465e-06
VC_RS10895,VC2255; VC_2255,,phosphatidate cytidylyltransferase,-1.13585425844173,1.36727635968996e-05
VC_RS10900,VC2256; VC_2256,uppS,polyprenyl diphosphate synthase,-0.560736693743059,0.006337313877193
VC_RS10905,VC2257; VC_2257,frr,ribosome recycling factor,0.345662198711983,0.122752943250637
VC_RS10910,VC2258; VC_2258,pyrH,UMP kinase,-0.281533654635837,0.296139643166451
VC_RS10915,VC2259; VC_2259,tsf,translation elongation factor Ts,0.142036293278671,0.514183777661064
VC_RS10920,VC2260; VC_2260,rpsB,30S ribosomal protein S2,-1.13429053807044,3.35244714666643e-05
VC_RS10925,VC2261; VC_2261,map,type I methionyl aminopeptidase,-0.110918856549989,0.544823972616986
VC_RS10930,VC2262; VC_2262,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,0.318204943017263,0.0477345843995531
VC_RS10935,VC2264; VC_2264,,DUF3461 family protein,1.99444139214674,5.25095480000994e-05
VC_RS10940,VC2265; VC_2265,pgpA,phosphatidylglycerophosphatase A,0.0744411672990252,0.832298693388742
VC_RS10945,VC2266; VC_2266,thiL,thiamine-phosphate kinase,-0.517485380436092,0.0228377903495736
VC_RS10950,VC2267; VC_2267,nusB,transcription antitermination factor NusB,-0.537404096534084,0.0075508093106132
VC_RS10955,VC2268; VC_2268,ribE,"6,7-dimethyl-8-ribityllumazine synthase",-0.203353884719456,0.450757523963201
VC_RS10960,VC2269; VC_2269,ribBA,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",0.0032895288159195,0.982192666212987
VC_RS10965,VC2270; VC_2270,,riboflavin synthase,0.305360170261947,0.0724719802847215
VC_RS10970,VC2271; VC_2271,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,0.0863873387658822,0.609196958638284
VC_RS10975,VC2272; VC_2272,nrdR,transcriptional regulator NrdR,0.332515385903207,0.0680637019429727
VC_RS10980,VC2273; VC_2273,,glutamate-5-semialdehyde dehydrogenase,0.23151079854821,0.203693068045007
VC_RS10985,VC2274; VC_2274,proB,glutamate 5-kinase,-0.179850992592987,0.251172911839763
VC_RS10990,VC2275; VC_2275,crl,sigma factor-binding protein Crl,0.9318754521445,0.0195579104925413
VC_RS10995,VC2276; VC_2276,frsA,esterase FrsA,0.302390646714736,0.114237702614673
VC_RS11000,VC2277; VC_2277,gpt,xanthine phosphoribosyltransferase,-0.366257127326762,0.0606356795973299
VC_RS11005,VC2278; VC_2278,,NCS2 family permease,-1.64934701430284,1.99882098244017e-05
VC_RS11010,VC2279; VC_2279,,aminoacyl-histidine dipeptidase,0.238390691396343,0.158853456823744
